"Temp","pres","fail","n","erosion","blowby","damage","Date"
66,50,0,6,0,0,0,1981-04-12
70,50,1,6,1,0,4,1981-11-12
69,50,0,6,0,0,0,1982-03-22
68,50,0,6,0,0,0,1982-11-11
67,50,0,6,0,0,0,1983-04-04
72,50,0,6,0,0,0,1983-06-18
73,50,0,6,0,0,0,1983-08-30
70,100,0,6,0,0,0,1983-11-28
57,100,1,6,1,0,4,1984-02-03
63,200,1,6,1,0,2,1984-04-06
70,200,1,6,1,0,4,1984-08-30
78,200,0,6,0,0,0,1984-10-05
67,200,0,6,0,0,0,1984-11-08
53,200,2,6,3,2,11,1985-01-24
67,200,0,6,0,0,0,1985-04-12
75,200,0,6,0,0,0,1985-04-29
70,200,0,6,0,0,0,1985-06-17
81,200,0,6,0,0,0,1985-07-29
76,200,0,6,0,0,0,1985-08-27
79,200,0,6,0,0,0,1985-10-03
75,200,2,6,0,2,4,1985-10-30
76,200,0,6,0,0,0,1985-11-26
58,200,1,6,1,0,4,1986-01-12
